127.0.0.1 - - [22/May/2017:23:02:55 +0300] "GET / HTTP/1.1" 404 1005
127.0.0.1 - - [22/May/2017:23:03:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:14 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:14 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:14 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:14 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:15 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:15 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:15 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:15 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:15 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:16 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:16 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:16 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:16 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:25 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:25 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:25 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:25 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:26 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:26 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:26 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:26 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:27 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:27 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:27 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:27 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:28 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:28 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:28 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:28 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:28 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:29 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:29 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:03:29 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:10 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:10 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:10 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:11 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:11 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:11 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:11 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:12 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:13 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
127.0.0.1 - - [22/May/2017:23:05:14 +0300] "POST /ReceipeFood_2.0/services/AdminService HTTP/1.0" 200 3338
